"Table S1. Sample information including scientific name based on nuclear assignment, sex, date of collection, and latitude and longitude of sampling location. Plumage scores for samples with available data are also provided. Per sample accession numbers associated with raw mtDNA and nuclear Illumina Hiseq data are provided."														
Sample.ID	Scientific_Name	Common_Name	Nuclear_Group	Plumage_Score	Sex	Age	Country	State/Province	Longitude	Latitude	Date Collected	Genbank mtDNA Accession Num.	Genbank ddRAD Raw Read SRA	Genbank ddRAD Raw Read Accession Num.
JIBNJ010	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734453	PRJNA591912	SAMN13391152
JIBNJ011	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734454	PRJNA591912	SAMN13391153
JIBNJ012	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734455	PRJNA591912	SAMN13391154
JIBNJ013	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734456	PRJNA591912	SAMN13391155
JIBNJ014	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734457	PRJNA591912	SAMN13391156
JIBNJ015	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734458	PRJNA591912	SAMN13391157
JIBNJ016	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734459	PRJNA591912	SAMN13391158
JIBNJ017	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734460	PRJNA591912	SAMN13391159
JIBNJ018	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734461	PRJNA591912	SAMN13391160
JIBNJ019	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734462	PRJNA591912	SAMN13391161
JIBNJ020	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734463	PRJNA591912	SAMN13391162
JIBNJ021	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734464	PRJNA591912	SAMN13391163
JIBNJ022	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734465	PRJNA591912	SAMN13391164
JIBNJ023	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734466	PRJNA591912	SAMN13391165
JIBNJ024	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734467	PRJNA591912	SAMN13391166
JIBNJ025	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734468	PRJNA591912	SAMN13391167
JIBNJ026	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734469	PRJNA591912	SAMN13391168
JIBNJ027	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734470	PRJNA591912	SAMN13391169
JIBNJ028	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734471	PRJNA591912	SAMN13391170
JIBNJ029	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734472	PRJNA591912	SAMN13391171
JIBNJ030	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734473	PRJNA591912	SAMN13391172
JIBNJ031	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734474	PRJNA591912	SAMN13391173
UAMX1739	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	NA	United States	AK	52.8763	-172.8905	1-Jun-01	MK425493	PRJNA516035	SAMN10781574 
REW624	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	NA	United States	AK	67.14114	-150.35586	6-Sep-05	KF857646	PRJNA516035	SAMN10781573 
UAMX3170	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	NA	United States	AK	60.337778	-151	2002	KF857649	PRJNA516035	SAMN10781575 
UAMX806	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	HY	United States	AK	64.8	-147.7	Unk	TBD	TBD	TBD
UAMX812	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	NA	United States	AK	64.8	-147.7	29-Apr-99	MK425495	PRJNA516035	SAMN10781577 
KGM1421	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	HY	Canada	Alberta	54.5	-110.2	23-Oct-06	MK425376	PRJNA516035	SAMN10781304 
KGM1422	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	HY	Canada	Alberta	53.1	-111.8	22-Sep-06	MK425377	PRJNA516035	SAMN10781305 
KGM1423	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	HY	Canada	Alberta	54.5	-110.2	23-Oct-06	MK425378	PRJNA516035	SAMN10781306 
KGM1424	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	AHY	Canada	Alberta	53.1	-111.8	15-Sep-06	MK425379	PRJNA516035	SAMN10781307 
KGM1412	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	AHY	Canada	Alberta	49.9	-113.1	30-Oct-06	MK425374	PRJNA516035	SAMN10781302 
KGM1414	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	HY	Canada	Alberta	49.2	-113.3	28-Oct-06	MK425375	PRJNA516035	SAMN10781303 
KGM1429	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Male	AHY	Canada	British Columbia	49.2	-122.2	28-Oct-06	MK425381	PRJNA516035	SAMN10781309 
KGM1427	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	HY	Canada	British Columbia	49.1	-122	30-Dec-06	MK425380	PRJNA516035	SAMN10781308 
CAMall01	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Unk	United States	California	39.3299	-121.914	2004	Not Sequenced	 PRJNA295689	SAMN04095855
CAMall05	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Unk	United States	California	39.3299	-121.914	2004	Not Sequenced	 PRJNA295689	SAMN04095854
CAMall12	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Unk	United States	California	39.3299	-121.914	2004	Not Sequenced	 PRJNA295689	SAMN04095853
